	I	pval_norm	var_norm	pval_norm_fdr_bh
ENSG00000258572.1	0.01847891852861356	0.0	4.544198643041706e-08	0.0
SDC1	0.018474996002639275	0.0	4.544198643041706e-08	0.0
TYROBP	0.018454075611242696	0.0	4.544198643041706e-08	0.0
RPN2	0.018389879736345285	0.0	4.544198643041706e-08	0.0
IGHA1	0.018322785583810897	0.0	4.544198643041706e-08	0.0
PLCG2	0.018245714616887045	0.0	4.544198643041706e-08	0.0
SLAMF7	0.01816215480210169	0.0	4.544198643041706e-08	0.0
NACA	0.01809591587180609	0.0	4.544198643041706e-08	0.0
RRM2	0.017982582806640914	0.0	4.544198643041706e-08	0.0
PTTG1	0.017928385564702824	0.0	4.544198643041706e-08	0.0
MANF	0.017915590410411266	0.0	4.544198643041706e-08	0.0
RPL24	0.017879355184671087	0.0	4.544198643041706e-08	0.0
GPX1	0.01777591439896928	0.0	4.544198643041706e-08	0.0
ITM2C	0.017718322781311385	0.0	4.544198643041706e-08	0.0
CAMK4	0.01769767956724932	0.0	4.544198643041706e-08	0.0
MT-ND2	0.01769478846230729	0.0	4.544198643041706e-08	0.0
SMIM14	0.017685866350702514	0.0	4.544198643041706e-08	0.0
ITM2B	0.017478126657469624	0.0	4.544198643041706e-08	0.0
BHLHE41	0.017474173540881675	0.0	4.544198643041706e-08	0.0
TLE5	0.01743453567962136	0.0	4.544198643041706e-08	0.0
ZWINT	0.01741048060831444	0.0	4.544198643041706e-08	0.0
PRDM1	0.017326497687425738	0.0	4.544198643041706e-08	0.0
PLPP5	0.017314262707706942	0.0	4.544198643041706e-08	0.0
HLA-DMB	0.017296170763863427	0.0	4.544198643041706e-08	0.0
GIMAP7	0.01725230789410829	0.0	4.544198643041706e-08	0.0
MKI67	0.01724075653746944	0.0	4.544198643041706e-08	0.0
PNOC	0.017180410242078403	0.0	4.544198643041706e-08	0.0
P4HB	0.01712937276028943	0.0	4.544198643041706e-08	0.0
RPL18A	0.017087775950191703	0.0	4.544198643041706e-08	0.0
SPOCK2	0.017076788802151025	0.0	4.544198643041706e-08	0.0
COPE	0.017035148177292507	0.0	4.544198643041706e-08	0.0
CENPW	0.016974152711954273	0.0	4.544198643041706e-08	0.0
SEC61G	0.01681542158832686	0.0	4.544198643041706e-08	0.0
PTGER4	0.01678556976896415	0.0	4.544198643041706e-08	0.0
RPS18	0.016741142540481636	0.0	4.544198643041706e-08	0.0
RACK1	0.016594856949803227	0.0	4.544198643041706e-08	0.0
TXNDC11	0.01642705138424679	0.0	4.544198643041706e-08	0.0
CD247	0.016398146635096346	0.0	4.544198643041706e-08	0.0
GNG7	0.016367332784168128	0.0	4.544198643041706e-08	0.0
SLC35B1	0.01635594040396478	0.0	4.544198643041706e-08	0.0
RPS5	0.016345508576580122	0.0	4.544198643041706e-08	0.0
RNASE6	0.0163418495231013	0.0	4.544198643041706e-08	0.0
SLC38A5	0.01632544576954698	0.0	4.544198643041706e-08	0.0
BCL11A	0.01625173361886957	0.0	4.544198643041706e-08	0.0
BRI3	0.016241540324180567	0.0	4.544198643041706e-08	0.0
H4C3	0.016237657367055847	0.0	4.544198643041706e-08	0.0
LRRC59	0.016236261538481497	0.0	4.544198643041706e-08	0.0
CKAP4	0.016226639461402566	0.0	4.544198643041706e-08	0.0
FTL	0.016136224987512642	0.0	4.544198643041706e-08	0.0
INPP4B	0.01613587545774384	0.0	4.544198643041706e-08	0.0
CPNE5	0.016124209181112657	0.0	4.544198643041706e-08	0.0
DUSP2	0.016113538473149374	0.0	4.544198643041706e-08	0.0
PSME2	0.01608883071175381	0.0	4.544198643041706e-08	0.0
DENND5B	0.01604639753897296	0.0	4.544198643041706e-08	0.0
CD79B	0.016046345503702104	0.0	4.544198643041706e-08	0.0
TMED9	0.016032742598303708	0.0	4.544198643041706e-08	0.0
RPL21	0.01602954264025576	0.0	4.544198643041706e-08	0.0
H1-5	0.016021352040588813	0.0	4.544198643041706e-08	0.0
BCL11B	0.01595422839211799	0.0	4.544198643041706e-08	0.0
PSAP	0.015899189347007896	0.0	4.544198643041706e-08	0.0
FCGRT	0.015879758377800625	0.0	4.544198643041706e-08	0.0
RPL26	0.015851540970585526	0.0	4.544198643041706e-08	0.0
ZBP1	0.015843118653270104	0.0	4.544198643041706e-08	0.0
TMSB4X	0.015823175282824398	0.0	4.544198643041706e-08	0.0
STT3A	0.015806142690906175	0.0	4.544198643041706e-08	0.0
SHCBP1	0.015805195174128515	0.0	4.544198643041706e-08	0.0
TNFRSF13C	0.01579604156219043	0.0	4.544198643041706e-08	0.0
RRBP1	0.015707930202797597	0.0	4.544198643041706e-08	0.0
CXXC5	0.015673027999607313	0.0	4.544198643041706e-08	0.0
BIRC5	0.01566344499485283	0.0	4.544198643041706e-08	0.0
TK1	0.01564866126701902	0.0	4.544198643041706e-08	0.0
STX7	0.015629099792017088	0.0	4.544198643041706e-08	0.0
S100A6	0.015574085267983925	0.0	4.544198643041706e-08	0.0
PYCR1	0.015567767392683415	0.0	4.544198643041706e-08	0.0
ASAH1	0.015526814837951784	0.0	4.544198643041706e-08	0.0
HMGB3	0.015526168567081318	0.0	4.544198643041706e-08	0.0
ENSG00000257221.4	0.015459433133373949	0.0	4.544198643041706e-08	0.0
NME1	0.015419024586117535	0.0	4.544198643041706e-08	0.0
TRAT1	0.015412947850891824	0.0	4.544198643041706e-08	0.0
LINC00926	0.01534679009208619	0.0	4.544198643041706e-08	0.0
PTPRC	0.015346504231212336	0.0	4.544198643041706e-08	0.0
CXCR4	0.015312739829017777	0.0	4.544198643041706e-08	0.0
TP53INP1	0.015302030910523417	0.0	4.544198643041706e-08	0.0
LMAN2	0.015280412535389778	0.0	4.544198643041706e-08	0.0
GIMAP4	0.015268990299072823	0.0	4.544198643041706e-08	0.0
ABCB9	0.015267721248252587	0.0	4.544198643041706e-08	0.0
CTSB	0.015236303749735421	0.0	4.544198643041706e-08	0.0
NUSAP1	0.015221591940949292	0.0	4.544198643041706e-08	0.0
NDFIP1	0.015212175289641305	0.0	4.544198643041706e-08	0.0
TIMP2	0.015172587994938059	0.0	4.544198643041706e-08	0.0
LAT2	0.015154985694640442	0.0	4.544198643041706e-08	0.0
C1QC	0.015110835209698742	0.0	4.544198643041706e-08	0.0
CCND3	0.015071477631903646	0.0	4.544198643041706e-08	0.0
HM13	0.015046241845648236	0.0	4.544198643041706e-08	0.0
SRM	0.015046107940943533	0.0	4.544198643041706e-08	0.0
FXYD5	0.015040757821363767	0.0	4.544198643041706e-08	0.0
